Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
543200,376641.5797192054,-5802186.683266292,-5070831.843597966,150.3361980497248,0.1325990065280384,0,3183.631865540519,4195.294481236488,-4563.133916817605,0.2928427420556545,4.545319825410843,4.397006705403328,259725.200,2296
543300,376959.9443411615,-5801767.13111096,-5071288.134981906,150.3334065346507,0.132597684673378,0,3183.660547598265,4195.748598314822,-4562.693731393665,0.2864981070160866,4.540896043181419,4.402594640851021,259725.300,2296
543400,377278.3118301877,-5801347.533545891,-5071744.382345277,150.3306144150698,0.1325963759082618,0,3183.689215919003,4196.202685125172,-4562.253516633064,0.2863816916942596,4.540896043181419,4.402827471494675,259725.400,2296
543500,377596.6821841972,-5800927.89057475,-5072200.585684113,150.3278217015718,0.1325950654353264,0,3183.717855950817,4196.656729560345,-4561.813252046704,0.2890592440962791,4.545785486698151,4.396075382828712,259725.500,2296
543600,377915.0554011257,-5800508.202201179,-5072656.744994481,150.3250284118966,0.1325937380302049,0,3183.746475959197,4197.110731620342,-4561.372942756861,0.2884771674871445,4.545785486698151,4.397006705403328,259725.600,2296
543700,378233.4314788685,-5800088.468428846,-5073112.860272408,150.3222344424368,0.132592416127744,0,3183.775073732249,4197.564700618386,-4560.932598542422,0.290281604975462,4.540896043181419,4.401197656989098,259725.700,2296
543800,378551.8104153576,-5799668.68926142,-5073568.93151393,150.319440023007,0.1325910907048196,0,3183.803653460927,4198.018641211092,-4560.492224991322,0.2909800969064236,4.542991518974304,4.400964826345444,259725.800,2296
543900,378870.1922084999,-5799248.864702558,-5074024.958715087,150.3166449302416,0.1325897417057511,0,3183.832213981077,4198.472542688251,-4560.051806271076,0.2888264134526253,4.543224349617958,4.400499165058136,259725.900,2296
544000,379188.5768562073,-5798828.994755929,-5074480.941871918,150.3138492460933,0.1325884007604221,0,3183.860748889856,4198.92640132457,-4559.61134377867,0.2882443368434906,4.544854164123535,4.397938027977943,259726.000,2296
544100,379506.9643564078,-5798409.079425178,-5074936.880980478,150.3110529772161,0.1325870754626244,0,3183.88926575426,4199.380221311003,-4559.170837514102,0.2790475264191628,4.533445462584496,4.409579560160637,259726.100,2296
544200,379825.3547069926,-5797989.118713988,-5075392.776036793,150.30825602362,0.1325857147485495,0,3183.917760034092,4199.834008701146,-4558.730295859277,0.2837041392922401,4.532979801297188,4.410278052091599,259726.200,2296
544300,380143.7479059023,-5797569.112626017,-5075848.627036911,150.3054586391892,0.1325843558943504,0,3183.94622427877,4200.287754181772,-4558.289710432291,0.2833548933267593,4.533678293228149,4.410278052091599,259726.300,2296
544400,380462.143951036,-5797149.061164929,-5076304.433976867,150.3026605768267,0.132583008760673,0,3183.974669314921,4200.741458684206,-4557.84907983616,0.2821325324475765,4.533911123871803,4.409113898873329,259726.400,2296
544500,380780.5428403215,-5796728.964334381,-5076760.196852721,150.2998619135677,0.1325816107568803,0,3184.003103757277,4201.195139437914,-4557.408423628658,0.2818997018039227,4.534842446446419,4.410278052091599,259726.500,2296
544600,381098.9445716566,-5796308.82213805,-5077215.915660492,150.2970626555616,0.1325802666467896,0,3184.031510609202,4201.648774556816,-4556.967718526721,0.2762535586953163,4.529953002929688,4.413537681102753,259726.600,2296
