utc_time,sat,constellation,jump_m,jump_cycles,dt_s
2026-06-24 07:46:47,G17,G,-0.384,-2.02,1
2026-06-24 07:47:28,G17,G,0.187,0.98,1
2026-06-24 07:53:50,E21,E,-0.094,-0.49,1
2026-06-24 07:53:51,E21,E,-0.277,-1.46,1
2026-06-24 07:56:30,C23,C,21.898,114.03,2
2026-06-24 07:57:36,C23,C,0.188,0.98,8
2026-06-24 07:59:11,C23,C,0.767,3.99,4
2026-06-24 07:59:42,C23,C,-0.963,-5.02,31
2026-06-24 07:59:45,C23,C,-0.093,-0.48,1
2026-06-24 07:59:47,C23,C,0.864,4.50,2
2026-06-24 08:29:15,G10,G,10.500,55.18,9
2026-06-24 08:29:22,G10,G,-0.140,-0.73,1
2026-06-24 08:29:28,G10,G,-0.170,-0.89,3
2026-06-24 08:29:40,G10,G,-0.373,-1.96,1
2026-06-24 08:29:56,C14,C,0.425,2.22,1
2026-06-24 08:29:56,C27,C,-0.637,-3.32,1
2026-06-24 08:29:56,C28,C,-0.289,-1.51,1
2026-06-24 08:29:56,C33,C,-0.291,-1.52,1
2026-06-24 08:29:56,C37,C,0.299,1.56,1
2026-06-24 08:29:56,C38,C,0.231,1.20,1
2026-06-24 08:29:56,C41,C,-0.762,-3.97,1
2026-06-24 08:29:56,C42,C,0.303,1.58,1
2026-06-24 08:29:56,E07,E,-0.300,-1.58,1
2026-06-24 08:29:56,E08,E,0.137,0.72,1
2026-06-24 08:29:56,E13,E,0.232,1.22,1
2026-06-24 08:29:56,E14,E,1.023,5.38,1
2026-06-24 08:29:56,E16,E,-0.497,-2.61,1
2026-06-24 08:29:56,E23,E,0.367,1.93,1
2026-06-24 08:29:56,E26,E,0.063,0.33,1
2026-06-24 08:29:56,E29,E,-0.685,-3.60,1
2026-06-24 08:29:56,E33,E,-0.302,-1.58,1
2026-06-24 08:29:56,G01,G,-0.262,-1.38,1
2026-06-24 08:29:56,G03,G,-0.562,-2.95,1
2026-06-24 08:29:56,G08,G,0.375,1.97,1
2026-06-24 08:29:56,G14,G,-0.148,-0.78,1
2026-06-24 08:29:56,G17,G,-0.748,-3.93,1
2026-06-24 08:29:56,G22,G,-0.334,-1.76,1
2026-06-24 08:29:56,G27,G,0.525,2.76,1
2026-06-24 08:29:56,G32,G,0.052,0.27,1
2026-06-24 08:31:43,G10,G,118.514,622.79,123
2026-06-24 08:31:53,G10,G,0.127,0.67,1
2026-06-24 08:31:55,G10,G,-0.162,-0.85,1
2026-06-24 08:45:08,E13,E,23.022,120.98,6
2026-06-24 08:46:10,C37,C,16.884,87.92,2
2026-06-24 08:46:34,C37,C,-0.175,-0.91,1
2026-06-24 08:46:35,C37,C,0.082,0.43,1
2026-06-24 08:46:39,C37,C,-0.106,-0.55,1
2026-06-24 08:48:10,C09,C,-0.057,-0.30,1
2026-06-24 08:48:10,C13,C,-0.108,-0.56,1
2026-06-24 08:48:10,C14,C,-0.475,-2.47,1
2026-06-24 08:48:10,C27,C,0.584,3.04,1
2026-06-24 08:48:10,C28,C,0.198,1.03,1
2026-06-24 08:48:10,C33,C,0.146,0.76,1
2026-06-24 08:48:10,C37,C,-0.311,-1.62,1
2026-06-24 08:48:10,C38,C,-0.306,-1.59,1
2026-06-24 08:48:10,C41,C,0.673,3.51,1
2026-06-24 08:48:10,C42,C,-0.391,-2.04,1
2026-06-24 08:48:10,E07,E,0.178,0.93,1
2026-06-24 08:48:10,E08,E,-0.236,-1.24,1
2026-06-24 08:48:10,E12,E,0.527,2.77,1
2026-06-24 08:48:10,E13,E,-0.255,-1.34,1
2026-06-24 08:48:10,E16,E,0.380,2.00,1
2026-06-24 08:48:10,E19,E,0.737,3.87,1
2026-06-24 08:48:10,E23,E,-0.417,-2.19,1
2026-06-24 08:48:10,E26,E,-0.107,-0.56,1
